on_date,off_date,route_name,descr,age_type,trans_yn,addfee_yn,start_bstop,start_gps_x,start_gps_y,end_bstop,end_gps_x,end_gps_y
20200125051608,20200125051949,160,문덕-대송-송도-죽도-용흥,일반,N,N,문덕사거리,129.403442,35.962846,성우오토모티브,129.384492,35.972675
20200125052423,20200125054020,102,문덕-남구청-고속터미널-북구보건소-양덕,일반,N,N,오천농협세계지점,129.41597,35.96745,남부시장,129.35683,36.0128
20200125052623,20200125054100,101,양덕-고속터미널-동해,일반,N,N,농협 양덕지점,129.396845,36.080018,북구청,129.367128,36.041941
20200125052624,20200125053433,500,문덕-시외터미널-흥해-청하-월포,일반,N,N,영일고등학교,129.35146,35.99697,시외버스터미널,129.35058,36.01325
20200125052924,20200125060521,109,양덕-우현-시외터미널-유강(위덕대)-자명-양덕,일반,N,N,삼구4차,129.392269,36.089308,시외버스터미널,129.35029,36.01328
20200125052928,20200125054354,100,문덕-흥해-신광,일반,N,N,해병대서문,129.413868,35.975902,시외버스터미널,129.35058,36.01325
20200125053012,20200125060837,200,양덕-남구청(야구장)-구룡포,일반,N,N,죽도파출소,129.36244,36.028422,구룡포환승센터,129.55527,35.990222
20200125053141,20200125054711,105,양덕-시외터미널-지곡,일반,N,N,롯데아파트,129.3775,36.05792,시외버스터미널,129.35029,36.01328
20200125053239,20200125053937,107,문덕-시외(고속)터미널-흥해,일반,N,N,오천리,129.354705,35.989245,시외버스터미널,129.35058,36.01325
20200125053909,20200125061933,200,양덕-남구청(야구장)-구룡포,일반,N,N,구룡포근대화거리,129.55997,35.990605,시외버스터미널,129.35058,36.01325
20200125054328,20200125054828,130,양덕-장량지구-양학-시청-송도-장량지구-양덕,일반,N,N,구 포항역,129.36092,36.03511,양학온천프라자,129.34762,36.02899
20200125054427,20200125055000,102,문덕-남구청-고속터미널-북구보건소-양덕,일반,N,N,해병대서문,129.413868,35.975902,청림삼거리,129.402648,35.994424
20200125054744,20200125065812,175,문덕-고속터미널-선린병원-달전,일반,N,N,오천농협,129.40281,35.970003,죽도시장,129.365486,36.03411
20200125054820,20200125055219,107,문덕-시외(고속)터미널-흥해,일반,N,N,고속버스터미널,129.367583,36.027026,죽도시장,129.365169,36.035704
20200125055024,20200125060321,175,문덕-고속터미널-선린병원-달전,일반,N,N,삼도미래2단지,129.332996,36.078498,중앙상가,129.365281,36.037455
20200125055028,20200125060023,102,문덕-남구청-고속터미널-북구보건소-양덕,일반,N,N,남구보건소,129.397,35.992908,상대파출소,129.358699,36.014976
20200125055135,20200125060403,107,문덕-시외(고속)터미널-흥해,일반,N,N,성곡1리,129.34171,36.09129,우현경로당,129.362232,36.049878
20200125055218,20200125055838,500,문덕-시외터미널-흥해-청하-월포,일반,N,N,연일전통시장,129.34877,35.99731,시외버스터미널,129.35058,36.01325
20200125055226,20200125060712,175,문덕-고속터미널-선린병원-달전,일반,N,N,남부교회,129.40975,35.968203,청림삼거리,129.402648,35.994424
20200125055321,20200125061241,200,양덕-남구청(야구장)-구룡포,일반,N,N,교보생명,129.352235,36.015721,신정,129.44527,35.98811
20200125055403,20200125060402,175,문덕-고속터미널-선린병원-달전,일반,N,N,대유아파트,129.33534,36.069664,죽도시장,129.365486,36.03411
20200125055606,20200125055918,175,문덕-고속터미널-선린병원-달전,일반,N,N,오천읍사무소,129.414107,35.962802,용덕사거리,129.415174,35.972826
20200125055631,20200125061325,101,양덕-고속터미널-동해,일반,N,N,남부소방서,129.4185,35.99312,오거리,129.366312,36.031816
20200125055638,20200125061915,107,문덕-시외(고속)터미널-흥해,일반,N,N,KTX포항역(시내행),129.342368,36.072374,시외버스터미널,129.35029,36.01328
20200125055835,20200125060406,100,문덕-흥해-신광,일반,N,N,한동맨션,129.33811,36.111868,흥해공고,129.342364,36.103983
20200125055944,20200125061801,101,양덕-고속터미널-동해,일반,N,N,삼성쉐르빌,129.405116,36.086449,죽도시장,129.365486,36.03411
20200125055948,20200125061812,101,양덕-고속터미널-동해,일반,N,N,삼성쉐르빌,129.405116,36.086449,죽도시장,129.365486,36.03411
20200125060004,20200125061439,101,양덕-고속터미널-동해,일반,N,N,인덕교,129.40407,35.98559,오거리,129.366312,36.031816
20200125060038,20200125060446,109,양덕-시외터미널-위덕대(유강),일반,N,N,청구아파트사거리(하),129.31862,36.00467,상도코아루,129.346639,36.008428
20200125060041,20200125060759,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,롯데백화점,129.36933,36.05006,죽도시장,129.365717,36.033299
20200125060229,20200125060241,700,양덕-세무서-시외터미널-안강-기계,일반,N,N,고용복지플러스센터,129.358125,36.022995,고용복지플러스센터,129.358125,36.022995
20200125060238,20200125062430,108,양덕-죽도-양학-시청-유강-지곡,일반,N,N,장성고등학교,129.385905,36.085742,선린병원,129.367635,36.04781
20200125060340,20200125062941,107,문덕-시외(고속)터미널-흥해,일반,N,N,문덕교,129.40711,35.960601,교보생명,129.3525,36.015568
20200125060341,20200125060650,500,문덕-시외터미널-흥해-청하-월포,일반,N,N,문덕마을회관,129.406473,35.952362,문덕사거리,129.403442,35.962846
20200125060413,20200125065029,510,문덕-흥해-청하-보경사-청하-흥해-문덕,일반,N,N,육거리,129.366135,36.039188,중산1리,129.338686,36.234326
